Id;Material;TemperaturaSintetizacao;EstruturaCristalina;ConstanteDieletrica;FatorQualidade;FrequenciaMedicao;VariacaoTemperaturaFrequenciaRessonante;Referencia;Elementos;Compostos
128;Zn2SiO4+sol-gel;1325;Trigonal R-3;6.6;198400;;-42;69;Zn,Si,O;Zn2,Si,O4
129;Sr2Al2Si0.9Ge0.1O7;1525;Tetragonal Gehhlenite type P-421m;6.6;22900;;-28;70;Sr,Al,Si,Ge,O;Sr2,Al2,Si0,Ge0,O7
130;Al2O3+50 vol % ZBS glass;700;Composite;6.6;2600;11.8;;35;Al,O,Zn,B,Si;Al2,O3,Zn,O,B2,O3,Si,O2
131;Ca1-xSrxSiO3 (x=0.8);;Monoclinic P21/a;6.6;66700;;-40;71;Ca,Sr,Si,O;Ca1,Sr,Si,O3
132;MgO-B2O3-SiO2 (42:45:13);;Glass;6.6;2100;6.88;;72;Mg,O,B,Si;Mg,O,B2,O3,Si,O2
133;Willemite (Zn2SiO4);1340;Trigonal R-3;6.6;219000;;-61;73;Zn,Si,O;Zn2,Si,O4
134;CaWO4+1 wt% MnSO4;1050;Scheelite I41/a;6.6;129540;;-56;48,49;Ca,W,O,Mn,S;Ca,W,O4,Mn,S,O4
135;K0.9Ba0.1Ga1.1Ge2.9O8;990;Monoclinic C2/m;6.6;12700;;-21;39;K,Ba,Ga,Ge,O;K0,Ba0,Ga1,Ge2,O8
136;Zn1.8SiO3.8;1300/3h;WillemiteTrigonal R-3;6.6;147000;;-22;74;Zn,Si,O;Zn1,Si,O3
137;MgO-B2O3-SiO2 (42:45:13) glass;;Glass;6.6;2130;6.9;;75;Mg,O,B,Si;Mg,O,B2,O3,Si,O2
138;ZnO-0.6 SiO2+Bi2O3-Li2CO3;910/2h;Glass;6.7;33000;11;-33;76;Zn,O,Si,Bi,Li,C;Zn,O,Si,O2,Bi2,O3,Li2,C,O3
139;CaO-SiO2;1320;Glass ceramic;6.7;25400;;;77;Ca,O,Si;Ca,O,Si,O2
140;50 wt% (La2O3-B2O3))+50 wt% Al2O3;850;Glass;6.7;2800;17.7;;78;La,O,B,Al;La2,O3,B2,O3,Al2,O3
141;Mg1.975Mn0.025SiO4 Fosterite;1400;Orthorhombic Pbnm;6.7;180000;;-71;79;Mg,Mn,Si,O;Mg1,Mn0,Si,O4
142;MgSiO3;1380/13h;Orthorhombic Pbnm;6.7;121200;;-17;80;Mg,Si,O;Mg,Si,O3
143;CaSiO3+1 wt% Al2O3;1250;Wollastonite Monoclinic P21/a;6.7;24600;;;81;Ca,Si,O,Al;Ca,Si,O3,Al2,O3
144;LiMg0.9Zn0.1PO4;925;Orthorhombic Pmnb Olivine TYPE;6.7;99700;;-62;82;Li,Mg,Zn,P,O;Li,Mg0,Zn0,P,O4
145;Zn3B2O6;925/4h;Triclinic I2/c;6.7;58500;;-58;83;Zn,B,O;Zn3,B2,O6
146;(Mg0.95La0.05)2Al4Si5O18+0.05;;Orthorhombic;6.7;78500;14.3;-22;84;Mg,La,Al,Si,O;Mg0,La0,Al4,Si5,O18
147;Mg2SiO4+15 wt% LMZBS glass;950;Composite;6.8;30600;;;85;Mg,Si,O,Li,Zn,B;Mg2,Si,O4,Li2,O,Mg,O,Zn,O,B2,O3,Si,O2
148;Mg2B2O5+55 wt% LMZBS glass;950;Composite;6.8;50000;7.28;-64;86;Mg,B,O,Li,Zn,Si;Mg2,B2,O5,Li2,O,Mg,O,Zn,O,B2,O3,Si,O2
149;Mg2SiO4Fosterite;1450;Orthorhombic Pbnm;6.8;270000;;-67;87;Mg,Si,O;Mg2,Si,O4
150;Li2ZnSiO4+20 wt% ZnO-B2O3;950/3h;Composite;6.8;9300;;-51;88;Li,Zn,Si,O,B;Li2,Zn,Si,O4,Zn,O,B2,O3
151;Li2ZnSiO4+25 wt% ZnO-B2O3;950/3h;Composite;6.8;10800;;-47;88;Li,Zn,Si,O,B;Li2,Zn,Si,O4,Zn,O,B2,O3
152;alfa-CaSiO3;1500;Monoclinic C2/c wollastonite;6.8;42200;;-19;89;Ca,Si,O;Ca,Si,O3
153;SrSiO3;1500;Monoclinic C2/c;6.8;13100;;-66;89;Sr,Si,O;Sr,Si,O3
154;Mg2GeO4+B2O3;1250;Orthorhombic Pnma;6.8;95000;;-29;90;Mg,Ge,O,B;Mg2,Ge,O4,B2,O3
155;K2Mo4O13;540;Triclinic p-1;6.8;39800;;-67;33;K,Mo,O;K2,Mo4,O13
156;0.9Ca0.9Mg0.1SiO3-0.1CaMgSi2O6;1290/2h;;6.9;118000;;;91;Ca,Mg,Si,O;Ca0,Mg0,Si,O3,Ca,Mg,Si2,O6
157;Mg1.93Ca0.07SiO4 Fosterite;1400;Orthorhombic Pbnm;6.9;105000;;-72;79;Mg,Ca,Si,O;Mg1,Ca0,Si,O4
158;ZnO:B2O3 (50:50) glass;<800;Glass;6.9;1733;16.4;-10;92;Zn,O,B;Zn,O,B2,O3
159;K0.67Ba0.33Ga1.33Ge2.67O8;1020;Monoclinic C2/m;6.9;32600;12;-27;39;K,Ba,Ga,Ge,O;K0,Ba0,Ga1,Ge2,O8
160;ZnO:B2O3:SiO2 (50:40:10) glass;611;Glass;6.9;1710;15.8;-21;92;Zn,O,B,Si;Zn,O,B2,O3,Si,O2
161;BaGa2Ge2O8;1100/12h;Monoclinic P21/a;6.9;10640;;-26;39;Ba,Ga,Ge,O;Ba,Ga2,Ge2,O8
162;xMgO-(1-x)B2O3 (x=0.75);1350/4h;Orthorhombic Pnmn;6.9;119600;;-69;93;Mg,O,B;Mg,O,B2,O3
163;MgO-B2O3-SiO2+10 wt% TiO2;;Composite;6.9;16500;;;51;Mg,O,B,Si,Ti;Mg,O,B2,O3,Si,O2,Ti,O2
164;3ZnO-B2O3;950/1h;Glass;6.9;20600;6.35;-80;94;Zn,O,B;Zn,O,B2,O3
165;(Ca0.9Mg0.1)SiO3+Li2CO3-Bi2O3;890/2h;Mixed phases;6.9;27000;;-40;95;Ca,Mg,Si,O,Li,C,Bi;Ca0,Mg0,Si,O3,Li2,C,O3,Bi2,O3
166;16ZnO-16La2O3-68B2O3+50 wt%Al2O3;950;Composite;6.9;12100;18.1;-12;96;Zn,O,La,B,Al;Zn,O,La2,O3,B2,O3,Al2,O3
167;Sm2Si2O7+15 wt% LMZBS;950/2h;Tetragonal P41;6.9;5000;10;;97;Sm,Si,O,Li,Mg,Zn,B;Sm2,Si2,O7,Li2,O,Mg,O,Zn,O,B2,O3,Si,O2
168;Zn2GeO4;1300;Trigonal R-3;6.9;102700;;-32;98;Zn,Ge,O;Zn2,Ge,O4
169;LiMg0.95Ni0.05PO4;875;Orthorhombic olivine type;6.9;98600;;-55;99;Li,Mg,Ni,P,O;Li,Mg0,Ni0,P,O4
170;(Mg0.95Ni0.05)2SiO4+12 wt%Li2CO3-V2O5;1150/4h;Orthorhombic;6.9;99800;;-50;100;Mg,Ni,Si,O,Li,C,V;Mg0,Ni0,Si,O4,Li2,C,O3,V2,O5
171;HfSiO4;;Tetragonal amd;7.0;25000;10;-44;101;Hf,Si,O;Hf,Si,O4
172;Sr0.05Ba0.95Al2Si2O8;1600/162h;Monoclinic celsian I2/c;7.0;92600;;-22;102;Sr,Ba,Al,Si,O;Sr0,Ba0,Al2,Si2,O8
173;Mg3B2O6+5 wt% Mg2B2O5;1310/20h;Kotoite Orthorhombic Pnmn;7.0;241000;;-18;52,103;Mg,B,O;Mg3,B2,O6,Mg2,B2,O5
174;SrCuP2O7;925;Monoclinic P21/n;7.0;101110;;-62;104;Sr,Cu,P,O;Sr,Cu,P2,O7
175;CaMgSi2O6;900/1h;Monoclinic C2/c;7.0;43200;;-22;105;Ca,Mg,Si,O;Ca,Mg,Si2,O6
176;CaMgSi2O6+8.5 wt% ZrO2;950;Composite;7.0;7300;;;106;Ca,Mg,Si,O,Zr;Ca,Mg,Si2,O6,Zr,O2
177;Mg2SiO4+1 wt% TiO2 Fosterite;1300;Orthorhombic Pbnm;7.0;230000;;-65;107;Mg,Si,O,Ti;Mg2,Si,O4,Ti,O2
178;Ba2V2O7;950;Anorthic Triclinic P-1;7.0;19000;;-74;108;Ba,V,O;Ba2,V2,O7
179;delta-Ba2P2O7;1150;Dichromatic type Hexagonal P-62m;7.0;12300;;;47;Ba,P,O;Ba2,P2,O7
180;Ba2MgSi2O7;1350/10h;Tetragonal P-421m;7.0;31000;;-60;109;Ba,Mg,Si,O;Ba2,Mg,Si2,O7
181;Sr2Al2SiO7;1525;Tetragonal P4-21m;7.0;33000;;-34;110;Sr,Al,Si,O;Sr2,Al2,Si,O7
182;LiMg0.95Co0.05PO4;875/2h;Orthorhombic olivine type;7.0;111200;;-54;111;Li,Mg,Co,P,O;Li,Mg0,Co0,P,O4
183;SrZnP2O7;950;Monoclinic P21/n;7.1;52780;;-70;104,112;Sr,Zn,P,O;Sr,Zn,P2,O7
184;MgMoO4;900;Wolframite Monoclinic C2/m;7.1;79100;;-46;113;Mg,Mo,O;Mg,Mo,O4
185;ZnO:B2O3:SiO2 (50:30:20) glass;614Td;Glass;7.1;1670;15.9;-43;92;Zn,O,B,Si;Zn,O,B2,O3,Si,O2
186;alfa-Sr2P2O7;1150;Dichromatic type OrthorhombicPnam;7.1;33500;;-23;47;Sr,P,O;Sr2,P2,O7
187;SrO-B2O3-SiO2 (32.85:52.09:15.05) glass;;Glass;7.1;3600;6.7;;72;Sr,O,B,Si;Sr,O,B2,O3,Si,O2
188;MgTiO3+15 wt%CaTiO3+ZnO-B2O3-SiO2(35:25:40);900/0.5h;Composite;7.1;3500;16;6;114;Mg,Ti,O,Ca,Zn,B,Si;Mg,Ti,O3,Ca,Ti,O3,Zn,O,B2,O3,Si,O235
189;0.95Zn2SiO4-0.05CaTiO3+Li2CO3-H3BO3;950;Trigonal R-3;7.1;26300;;-5;115;Zn,Si,O,Ca,Ti,Li,C,H,B;Zn2,Si,O4,Ca,Ti,O3,Li2,C,O3,H3,B,O3
190;Li2CaSiO4+3 wt% ZBS;875;Tetragonal I-42m;7.1;2000;;;14;Li,Ca,Si,O,Zn,B;Li2,Ca,Si,O4,Zn,O,B2,O3,Si,O2
191;0.88(Mg0.4Zn0.6)2SiO4-0.12CaTiO3+4wt% Li2CO3-H3BO3;950;Composite;7.1;28600;;-6;116;Mg,Zn,Si,O,Ca,Ti,Li,C,H,B;Mg0,Zn0,Si,O4,Ca,Ti,O3,Li2,C,O3,H3,B,O3
192;Mg3B2O6;;Kotoite Orthorhombic Pnmn;7.2;150400;16;;117;Mg,B,O;Mg3,B2,O6
193;BaAl2Si2O8;1500/12h;Monoclinic;7.2;70600;10.5;-22;118;Ba,Al,Si,O;Ba,Al2,Si2,O8
194;Sr0.05Ba0.95Al2Si2O8;1500/40h;Monocelsian Hexagonal P6/mmm;7.2;77000;10.5;;118;Sr,Ba,Al,Si,O;Sr0,Ba0,Al2,Si2,O8
195;Li2CaSiO4+1 wt% LBS;925;Tetragonal I-42m;7.2;4000;;;14;Li,Ca,Si,O,B;Li2,Ca,Si,O4,Li2,O,B2,O3,Si,O2
196;Sr2Al2SiO7;1525;Gehlenite Tetragonal P-421m;7.2;33000;;-37;119;Sr,Al,Si,O;Sr2,Al2,Si,O7
197;CaO-MgO-SiO2+10 wt% Li2O-Bi2O3 (sol-gel);890;Composite;7.2;25600;;-69;120;Ca,O,Mg,Si,Li,Bi;Ca,O,Mg,O,Si,O2,Li2,O,Bi2,O3
198;Sr2Al1.9Ga0.1SiO7;1525;Tetragonal P-421m;7.2;21500;;-41;70;Sr,Al,Ga,Si,O;Sr2,Al1,Ga0,Si,O7
199;Mg2SiO4+0.5 wt% LMZBS glass Fosterite;1525;Orthorhombic Pbnm;7.3;121200;;;85;Mg,Si,O,Li,Zn,B;Mg2,Si,O4,Li2,O,Mg,O,Zn,O,B2,O3,Si,O2
200;Li2CaSiO4+3 wt% BZBS;900;Tetragonal I-42m;7.3;1700;;;14;Li,Ca,Si,O,B,Zn;Li2,Ca,Si,O4,B,Zn,O,B2,O3,Si,O2
201;Sr2Al2SiO7+0.5 wt% LMZBS glass;1500;Gehlenite P4-21m, Tetragonal;7.3;34200;;-36;70;Sr,Al,Si,O,Li,Mg,Zn,B;Sr2,Al2,Si,O7,Li2,O,Mg,O,Zn,O,B2,O3,Si,O2
202;Sr2Al2SiO7+1 wt% LMZBS glass;1500;Gehlenite P4-21m, Tetragonal;7.3;36300;;-23;70;Sr,Al,Si,O,Li,Mg,Zn,B;Sr2,Al2,Si,O7,Li2,O,Mg,O,Zn,O,B2,O3,Si,O2
203;Sr2-xCaxAl2SiO7 (x=0.25);1450;Tetragonal P4-21m;7.3;26000;;-34;110;Sr,Ca,Al,Si,O;Sr2,Ca,Al2,Si,O7
204;SrZnP2O7;925/2h;Monoclinic P21/n;7.3;71520;;-64;104;Sr,Zn,P,O;Sr,Zn,P2,O7
205;BaO:B2O3:SiO2 (30:20:50) glass;717 Td;Glass;7.3;1840;14.8;-62;92;Ba,O,B,Si;Ba,O,B2,O3,Si,O2
